date,home_team,away_team,tournament,neutral,home_score,away_score,outcome,home_win,h_win_rate,h_draw_rate,h_goals_scored_avg,h_goals_conceded_avg,h_clean_sheets_rate,h_goal_diff_avg,h_games_played,h_fifa_rank,h_elo,a_win_rate,a_draw_rate,a_goals_scored_avg,a_goals_conceded_avg,a_clean_sheets_rate,a_goal_diff_avg,a_games_played,a_fifa_rank,a_elo,rank_diff,elo_diff,h2h_win_rate,h2h_games
2018-05-19,Irã,Uzbequistão,Friendly,0,1.0,0.0,home_win,1,0.6,0.3,1.6,0.6,0.5,1.0,10,21,1725,0.2,0.3,0.6,1.0,0.3,-0.4,10,68,1495,-47,230,1.0,2
2018-05-28,Portugal,Tunísia,Friendly,0,2.0,2.0,draw,0,0.7,0.2,1.8,0.7,0.5,1.1,10,5,1900,0.5,0.2,1.1,0.8,0.4,0.3,10,32,1655,-27,245,0.5,0
2018-05-28,Itália,Arábia Saudita,Friendly,1,2.0,1.0,home_win,1,0.4,0.3,1.2,0.8,0.5,0.4,10,9,1820,0.4,0.2,1.1,1.3,0.4,-0.2,10,56,1530,-47,290,0.5,0
2018-05-28,Turquia,Irã,Friendly,0,2.0,1.0,home_win,1,0.3,0.3,1.2,1.5,0.3,-0.3,10,29,1675,0.6,0.3,1.5,0.6,0.5,0.9,10,21,1725,8,-50,0.5,0
2018-05-29,Argentina,Haiti,Friendly,0,4.0,0.0,home_win,1,0.5,0.3,1.7,1.2,0.6,0.5,10,3,1955,0.4,0.1,1.8,2.6,0.2,-0.8,10,83,1430,-80,525,0.5,0
2018-05-30,Japão,Gana,Friendly,0,0.0,2.0,away_win,0,0.3,0.2,1.2,1.7,0.1,-0.5,10,17,1775,0.3,0.4,1.7,0.9,0.3,0.8,10,60,1520,-43,255,0.5,0
2018-05-31,Ucrânia,Marrocos,Friendly,1,0.0,0.0,draw,0,0.5,0.1,1.1,1.0,0.2,0.1,10,24,1710,0.7,0.1,2.0,0.5,0.6,1.5,10,14,1800,10,-90,0.5,0
2018-06-01,França,Itália,Friendly,0,3.0,1.0,home_win,1,0.7,0.2,2.1,0.9,0.5,1.2,10,1,1960,0.4,0.3,1.1,0.9,0.4,0.2,10,9,1820,-8,140,1.0,1
2018-06-01,Turquia,Tunísia,Friendly,1,2.0,2.0,draw,0,0.4,0.2,1.4,1.6,0.2,-0.2,10,29,1675,0.5,0.3,1.3,0.8,0.4,0.5,10,32,1655,-3,20,0.5,0
2018-06-01,República Tcheca,Austrália,Friendly,1,0.0,4.0,away_win,0,0.5,0.1,1.7,1.2,0.2,0.5,10,40,1620,0.3,0.5,1.1,1.2,0.2,-0.1,10,23,1715,17,-95,0.5,0
2018-06-01,Argélia,Cabo Verde,Friendly,0,2.0,3.0,away_win,0,0.5,0.0,1.5,1.2,0.3,0.3,10,36,1638,0.4,0.0,0.8,1.5,0.1,-0.7,10,71,1480,-35,158,0.5,0
2018-06-01,Colômbia,Egito,Friendly,1,0.0,0.0,draw,0,0.3,0.5,1.7,1.0,0.4,0.7,10,15,1790,0.4,0.2,0.8,0.8,0.3,0.0,10,38,1630,-23,160,0.5,0
2018-06-02,Áustria,Alemanha,Friendly,0,2.0,1.0,home_win,1,0.6,0.3,1.7,0.7,0.4,1.0,10,26,1695,0.6,0.3,2.4,0.8,0.3,1.6,10,12,1810,14,-115,0.5,0
